English,Khmer
aardvark,Aardvark
aardwolf,aardwolf
aaron,លោកអើរ៉ុន
aback,ភ្ញាក់ផ្អើល
abacus,Abacus
abaft,abaft
abalone,Abalone
abandon,បោះបង់ចោល
abandoned,បោះបង់ចោល
abandonment,ការបោះបង់ចោល
abandons,បោះបង់ចោល
abase,Abas
abased,Abas
abasement,Abas
abash,"abashment,"
abashed,"abashment,"
abate,Abate
abated,Abate
abatement,បញ្ចប់
abates,Abate
abattoir,abattoir
abattoirs,abattoirs
abbe,abbe
abbess,abbess
abbey,Abbey
abbeys,Abbey
abbot,ចៅអធិការ
abbots,Abbot
abbreviate,អក្សរសង្ខេប
abbreviated,អក្សរកាត់
abbreviates,អក្សរសង្ខេប
abbreviating,abbreviating
abbreviation,អក្សរកាត់
abbreviations,អក្សរកាត់
abdicate,ការដាក់រាជ្យ
abdicated,ការដាក់រាជ្យ
abdicates,ការដាក់រាជ្យ
abdicating,ការដាក់រាជ្យ
abdication,ការដាក់រាជ្យ
abdomen,ពោះ
abdomens,ពោះ
abdominal,ពោះ
abduct,ការចាប់ខ្លួ
abducted,ការចាប់ខ្លួ
abducting,ចាប់ពង្រត់
abduction,ការចាប់ខ្លួ
abductions,ចាប់ខ្លួន
abductor,អ្នកចាប់ពង្រត់
abductors,អ្នកចាប់ពង្រត់
abducts,ការចាប់ខ្លួ
abe,លោកអាបេ
abeam,abeam
abel,អេបិល
abele,អេបិល
aberdeen,Aberdeen
aberrant,ការភាន់ច្រឡំ
aberration,ការភាន់ច្រឡំ
aberrations,aberrations បាន
abet,abet
abets,abets
abetted,abetted
abetting,គាំទ្រជំរុញ
abeyance,abeyance
abhor,ចូរស្អប់ខ្ពើម
abhorred,ចូរស្អប់ខ្ពើម
abhorrence,សម្អប់
abhorrent,គួរឱ្យខ្ពើម
abhors,ចូរស្អប់ខ្ពើម
abide,Abidal
abided,Abidal
abides,ស្ថិត
abiding,ស្ថិតនៅ
abidjan,អាប៊ីហ្សង់
abies,abies
abilities,សមត្ថភាព
ability,សមត្ថភាព
abject,គួរឱ្យអាសូរ
abjectly,abjectly
abjure,abjure
abjured,abjured
ablate,ablate
ablates,ablates
ablating,ablating
ablation,ablation
ablative,ablative
ablaze,ឆេះ
able,អាច
ablebodied,ablebodied
abler,abler
ablest,ablest
abloom,abloom
ablution,ablutions
ablutions,ablutions
ably,ably
abnegation,abnegation
abnormal,លក្ខណៈមិនប្រក្រតី
abnormalities,ភាពមិនប្រក្រតី
abnormality,ភាពមិនប្រក្រតី
abnormally,ខុសពីធម្មតា
aboard,នៅលើនាវា
abode,ការតាំងទីលំនៅ
abodes,ទីលំនៅ
abolish,លុបចោល
abolished,លុបបំបាត់ចោល
abolishes,លុបចោល
abolishing,ការលុបបំបាត់
abolition,ការលប់បំបាត់
abolitionist,abolitionist
abolitionists,abolitionist
abomb,abomb
abominable,គួរឱ្យស្អប់ខ្ពើម
abominably,អំពើគួរស្អប់ខ្ពើម
abominate,អំពើគួរស្អប់ខ្ពើម
abominated,អំពើគួរស្អប់ខ្ពើម
abomination,ស្អប់ខ្ពើម
abominations,អំពើគួរស្អប់ខ្ពើម
aboriginal,aboriginal
aborigines,ជនជាតិដើម
abort,បោះបង់
aborted,បោះបង់
aborting,បោះបង់
abortion,ការរំលូតកូន
abortionist,abortionist
abortionists,abortionists
abortions,ការរំលូតកូន
abortive,ការរំលូតកូន
aborts,ការរំលូតកូន
abound,រឹតតែមាន
abounded,abound
abounding,ចំរើនឡើង
abounds,abound
about,អំពី
above,ខាងលើ
abraded,abraded
abraham,លោកអប្រាហាំ
abrasion,សំណឹក
abrasions,abrasions
abrasive,សំណឹក
abrasively,សំណឹក
abrasiveness,សំណឹក
abrasives,សំណឹក
abreast,abreast
